Year,Month,Return,Amount,CPI,Real Amount
1987,1,6.46%,"12,271.69",111.2,110.3569245
1987,2,4.38%,"12,808.75",111.6,114.7737455
1987,3,-0.86%,"12,699.05",112.1,113.2832293
1987,4,0.17%,"12,721.00",112.7,112.8748891
1987,5,4.50%,"13,293.25",113.1,117.5353669
1987,6,3.12%,"13,708.28",113.5,120.7777974
1987,7,6.45%,"14,593.01",113.8,128.2338313
1987,8,-3.03%,"14,150.78",114.4,123.6956294
1987,9,-11.85%,"12,473.36",115,108.464
1987,10,-12.30%,"10,938.71",115.3,94.87172593
1987,11,-1.33%,"10,792.72",115.4,93.52443674
1987,12,4.25%,"11,251.03",115.4,97.49592721
1988,1,3.33%,"11,625.53",115.7,100.4799481
1988,2,3.23%,"12,001.27",116,103.4592241
1988,3,-0.89%,"11,894.94",116.5,102.1024893
1988,4,-2.19%,"11,634.65",117.1,99.35653288
1988,5,6.00%,"12,332.52",117.5,104.957617
1988,6,-0.31%,"12,294.67",118,104.1921186
1988,7,-1.72%,"12,083.38",118.5,101.9694515
1988,8,1.93%,"12,316.25",119,103.4978992
1988,9,3.80%,"12,784.47",119.8,106.7151085
1988,10,-2.02%,"12,526.19",120.2,104.2112313
1988,11,2.33%,"12,817.54",120.3,106.5464672
1988,12,3.51%,"13,267.78",120.5,110.1060581
1989,1,3.30%,"13,705.60",121.1,113.1758877
1989,2,-0.16%,"13,683.44",121.6,112.5282895
1989,3,3.56%,"14,171.23",122.3,115.8726901
1989,4,4.12%,"14,754.42",123.1,119.8571893
1989,5,3.39%,"15,254.98",123.8,123.2227787
1989,6,2.80%,"15,682.14",124.1,126.3669621
1989,7,4.69%,"16,417.75",124.4,131.9754823
1989,8,0.46%,"16,492.54",124.6,132.3638844
1989,9,0.29%,"16,539.75",125,132.318
1989,10,-1.81%,"16,239.80",125.6,129.2977707
1989,11,2.74%,"16,684.23",125.9,132.5196982
1989,12,-2.21%,"16,315.31",126.1,129.3839017
1990,1,-2.53%,"15,902.99",127.4,124.827237
1990,2,2.71%,"16,333.51",128,127.6055469
1990,3,0.20%,"16,365.52",128.7,127.1602176
1990,4,3.85%,"16,995.74",128.9,131.8521334
1990,5,3.17%,"17,534.50",129.2,135.7159443
1990,6,0.17%,"17,564.26",129.9,135.2137028
1990,7,-7.86%,"16,183.50",130.4,124.1065951
1990,8,-4.34%,"15,480.96",131.6,117.6364742
1990,9,-2.32%,"15,122.46",132.7,113.9597589
1990,10,2.98%,"15,573.68",133.5,116.656779
1990,11,4.59%,"16,287.99",133.8,121.7338565
1990,12,-0.69%,"16,176.39",133.8,120.8997758
1991,1,11.61%,"18,053.94",134.6,134.130312
1991,2,3.04%,"18,603.62",134.8,138.0090504
1991,3,2.26%,"19,023.84",135,140.9173333
1991,4,-0.18%,"18,989.81",135.2,140.4571746
1991,5,0.35%,"19,055.71",135.6,140.5288348
1991,6,0.78%,"19,204.43",136,141.2090441
1991,7,2.68%,"19,718.91",136.2,144.7790749
1991,8,-0.30%,"19,659.14",136.6,143.9175695
1991,9,0.18%,"19,694.85",137.2,143.5484694
1991,10,0.02%,"19,697.96",137.4,143.3621543
1991,11,0.94%,"19,882.16",137.8,144.2827286
1991,12,7.36%,"21,345.10",137.9,154.786802
1992,1,-0.60%,"21,216.85",138.1,153.6339609
1992,2,-1.01%,"21,002.05",138.6,151.5299423
1992,3,0.26%,"21,057.56",139.3,151.1669777
1992,4,2.07%,"21,493.11",139.5,154.0724731
1992,5,-1.33%,"21,207.44",139.7,151.807015
1992,6,1.91%,"21,612.95",140.2,154.1579886
1992,7,0.94%,"21,816.49",140.5,155.2775089
1992,8,0.38%,"21,898.99",140.9,155.4222143
1992,9,-1.18%,"21,640.13",141.3,153.1502477
1992,10,2.76%,"22,236.73",141.8,156.8175599
1992,11,3.27%,"22,964.14",142,161.7192958
1992,12,0.14%,"22,996.95",141.9,162.064482
1993,1,1.72%,"23,393.48",142.6,164.0496494
1993,2,2.15%,"23,896.47",143.1,166.9914046
1993,3,-1.34%,"23,575.84",143.6,164.1771588
1993,4,0.72%,"23,746.70",144,164.9076389
1993,5,0.87%,"23,952.16",144.2,166.1037448
1993,6,0.06%,"23,966.77",144.4,165.9748615
1993,7,1.76%,"24,389.17",144.4,168.9000693
1993,8,1.35%,"24,719.64",144.8,170.7157459
1993,9,1.24%,"25,026.64",145.1,172.4785665
1993,10,0.01%,"25,028.52",145.7,171.7811942
1993,11,0.89%,"25,250.57",145.8,173.1863512
1993,12,1.74%,"25,688.89",145.8,176.1926612
1994,1,-0.08%,"25,669.44",146.2,175.577565
1994,2,-1.42%,"25,303.96",146.7,172.4877982
1994,3,-3.35%,"24,457.19",147.2,166.1493886
1994,4,1.06%,"24,716.01",147.4,167.6798507
1994,5,1.11%,"24,989.89",147.5,169.4229831
1994,6,-0.52%,"24,860.22",148,167.9744595
1994,7,3.08%,"25,626.43",148.4,172.6848383
1994,8,0.82%,"25,835.92",149,173.3954362
1994,9,-0.44%,"25,721.20",149.4,172.1633199
1994,10,-0.37%,"25,626.07",149.5,171.4118395
1994,11,-1.03%,"25,363.22",149.7,169.4269873
1994,12,2.45%,"25,984.91",149.7,173.5798931
1995,1,3.82%,"26,977.30",150.3,179.4896873
1995,2,2.56%,"27,667.43",150.9,183.3494367
1995,3,3.22%,"28,557.09",151.4,188.6201453
1995,4,3.35%,"29,513.11",151.9,194.2930217
1995,5,3.18%,"30,451.16",152.2,200.0733246
1995,6,3.55%,"31,531.41",152.5,206.7633443
1995,7,0.51%,"31,693.21",152.5,207.8243279
1995,8,3.72%,"32,871.45",152.9,214.9865925
1995,9,0.91%,"33,171.43",153.2,216.5236945
1995,10,2.36%,"33,953.74",153.7,220.9091737
1995,11,3.39%,"35,104.48",153.6,228.5447917
1995,12,0.16%,"35,161.55",153.5,229.0654723
1996,1,5.90%,"37,237.63",154.4,241.1763601
1996,2,-0.20%,"37,162.89",154.9,239.9153648
1996,3,0.20%,"37,236.12",155.7,239.1529865
1996,4,2.35%,"38,112.96",156.3,243.8449136
1996,5,1.28%,"38,600.27",156.6,246.4895913
1996,6,-3.48%,"37,258.31",156.7,237.768411
1996,7,3.08%,"38,404.28",157,244.6132484
1996,8,2.02%,"39,181.48",157.3,249.0876033
1996,9,4.12%,"40,795.56",157.8,258.5269962
1996,10,5.05%,"42,856.59",158.3,270.7301958
1996,11,1.20%,"43,370.11",158.6,273.4559269
1996,12,3.26%,"44,782.90",158.6,282.3638083
1997,1,4.36%,"46,735.96",159.1,293.7521056
1997,2,-0.62%,"46,444.47",159.6,291.0054511
1997,3,-3.41%,"44,862.93",160,280.3933125
1997,4,9.22%,"48,998.31",160.2,305.8571161
1997,5,5.34%,"51,613.27",160.1,322.3814491
1997,6,5.74%,"54,573.77",160.3,340.447723
1997,7,0.35%,"54,763.57",160.5,341.2060436
1997,8,1.19%,"55,416.35",160.8,344.6290423
1997,9,1.65%,"56,328.16",161.2,349.430273
1997,10,-1.15%,"55,679.24",161.6,344.5497525
1997,11,2.63%,"57,146.17",161.5,353.8462539
1997,12,0.24%,"57,281.66",161.3,355.1249845
1998,1,6.40%,"60,948.92",161.6,377.1591584
1998,2,5.31%,"64,187.06",161.9,396.4611489
1998,3,3.41%,"66,373.06",162.2,409.2050555
1998,4,-0.22%,"66,225.81",162.5,407.5434462
1998,5,0.12%,"66,302.93",162.8,407.2661548
1998,6,4.47%,"69,265.13",163,424.9394479
1998,7,-6.97%,"64,436.65",163.2,394.8324142
1998,8,-4.90%,"61,280.25",163.4,375.0321297
1998,9,1.29%,"62,071.29",163.6,379.4088631
1998,10,10.97%,"68,883.24",164,420.0197561
1998,11,4.10%,"71,710.28",164,437.2578049
1998,12,5.05%,"75,329.99",163.9,459.609457
1999,1,-0.07%,"75,279.73",164.3,458.1846013
1999,2,2.92%,"77,480.54",164.5,471.0063222
1999,3,4.25%,"80,773.48",165,489.5362424
1999,4,-0.10%,"80,693.65",166.2,485.5213598
1999,5,-0.61%,"80,200.00",166.2,482.5511432
1999,6,4.52%,"83,826.95",166.2,504.3739471
1999,7,-3.77%,"80,663.00",166.7,483.8812238
1999,8,-0.60%,"80,180.62",167.1,479.836146
1999,9,-1.27%,"79,160.35",167.9,471.4731983
1999,10,7.11%,"84,785.44",168.2,504.0751486
1999,11,2.81%,"87,166.83",168.3,517.9253119
1999,12,-0.12%,"87,063.16",168.3,517.3093286
2000,1,-2.48%,"84,905.67",168.8,502.9956754
2000,2,3.94%,"88,251.77",169.8,519.7395171
2000,3,1.42%,"89,509.06",171.2,522.8332944
2000,4,-2.84%,"86,968.08",171.3,507.6945709
2000,5,3.16%,"89,719.30",171.5,523.1446064
2000,6,0.85%,"90,482.22",172.4,524.8388631
2000,7,0.94%,"91,332.49",172.8,528.5445023
2000,8,-1.08%,"90,346.42",172.8,522.8380787
2000,9,-5.21%,"85,635.55",173.7,493.0083477
2000,10,-0.77%,"84,973.96",174,488.356092
2000,11,-3.32%,"82,152.76",174.1,471.8711086
2000,12,0.46%,"82,526.56",174,474.2905747
2001,1,-2.14%,"80,763.58",175.1,461.2426042
2001,2,-9.08%,"73,430.33",175.8,417.6924346
2001,3,0.45%,"73,759.80",176.2,418.6140749
2001,4,6.88%,"78,833.99",176.9,445.6415489
2001,5,-2.39%,"76,950.92",177.7,433.0383793
2001,6,-2.66%,"74,903.85",178,420.8081461
2001,7,-2.05%,"73,371.44",177.5,413.3602254
2001,8,-11.25%,"65,119.11",177.5,366.8682254
2001,9,3.18%,"67,192.53",178.3,376.8509815
2001,10,5.05%,"70,587.86",177.7,397.2305008
2001,11,1.47%,"71,622.71",177.4,403.7356821
2001,12,-0.30%,"71,409.50",176.7,404.1284663
2002,1,-3.35%,"69,015.31",177.1,389.6968379
2002,2,4.95%,"72,428.30",177.8,407.3582677
2002,3,-3.51%,"69,882.86",178.8,390.843736
2002,4,-2.82%,"67,911.90",179.8,377.7080089
2002,5,-5.92%,"63,890.86",179.8,355.3440489
2002,6,-10.76%,"57,017.17",179.9,316.9381323
2002,7,1.14%,"57,666.47",180.1,320.1913937
2002,8,-4.76%,"54,922.86",180.7,303.9449917
2002,9,-1.37%,"54,172.04",181,299.2930387
2002,10,6.63%,"57,761.25",181.3,318.5948704
2002,11,-1.04%,"57,163.38",181.3,315.297187
2002,12,-0.22%,"57,036.19",180.9,315.2912659
2003,1,-6.41%,"53,377.41",181.7,293.7667034
2003,2,1.31%,"54,075.53",183.1,295.3333151
2003,3,5.29%,"56,933.89",184.2,309.0873507
2003,4,5.31%,"59,958.33",183.8,326.2150707
2003,5,5.70%,"63,378.47",183.5,345.3867575
2003,6,0.60%,"63,756.14",183.7,347.0666304
2003,7,-0.17%,"63,650.10",183.9,346.1125612
2003,8,3.16%,"65,662.19",184.6,355.6998375
2003,9,2.03%,"66,993.71",185.2,361.737095
2003,10,1.21%,"67,804.73",185,366.5120541
2003,11,3.06%,"69,882.14",184.5,378.7649864
2003,12,4.93%,"73,330.79",184.3,397.8881715
2004,1,1.09%,"74,127.65",185.2,400.2572894
2004,2,-1.57%,"72,967.41",186.2,391.8765306
2004,3,0.97%,"73,673.83",187.4,393.1367663
2004,4,-2.56%,"71,784.65",188,381.8332447
2004,5,2.86%,"73,836.02",189.1,390.4601798
2004,6,-2.24%,"72,183.00",189.7,380.5113337
2004,7,-1.39%,"71,181.41",189.4,375.8258184
2004,8,2.78%,"73,162.12",189.5,386.0797889
2004,9,0.10%,"73,237.18",189.9,385.661822
2004,10,4.77%,"76,733.44",190.9,401.9562074
2004,11,2.73%,"78,826.31",191,412.7031937
2004,12,-1.35%,"77,762.77",190.3,408.6325276
2005,1,1.68%,"79,070.12",190.7,414.6309386
2005,2,-0.26%,"78,868.03",191.8,411.1993222
2005,3,-2.41%,"76,968.16",193.3,398.1798241
2005,4,1.34%,"77,996.36",194.6,400.8034943
2005,5,2.18%,"79,697.22",194.4,409.9651235
2005,6,1.81%,"81,137.98",194.5,417.1618509
2005,7,0.31%,"81,389.52",195.4,416.527738
2005,8,0.28%,"81,617.16",196.4,415.5659878
2005,9,-2.62%,"79,475.35",198.8,399.7754024
2005,10,3.96%,"82,623.80",199.2,414.7781124
2005,11,2.14%,"84,395.36",197.6,427.1020243
2005,12,1.47%,"85,633.24",196.8,435.128252
2006,1,-0.02%,"85,619.00",198.3,431.7650025
2006,2,1.49%,"86,891.41",198.7,437.2994967
2006,3,0.80%,"87,585.09",199.8,438.3638138
2006,4,-0.79%,"86,896.12",201.5,431.2462531
2006,5,-2.71%,"84,544.89",202.5,417.5056296
2006,6,0.72%,"85,153.65",202.9,419.6828487
2006,7,2.29%,"87,105.16",203.5,428.0351843
2006,8,2.53%,"89,309.95",203.9,438.0085826
2006,9,3.62%,"92,539.32",202.9,456.0833908
2006,10,2.00%,"94,391.62",201.8,467.7483647
2006,11,2.15%,"96,419.40",201.5,478.5081886
2006,12,0.69%,"97,087.42",201.8,481.1071358
2007,1,1.60%,"98,636.99",202.42,487.2887561
2007,2,-2.47%,"96,196.81",203.5,472.7115971
2007,3,4.18%,"100,218.09",205.35,488.0355004
2007,4,3.39%,"103,617.24",206.69,501.3171416
2007,5,0.34%,"103,974.62",207.95,499.9981726
2007,6,0.57%,"104,572.08",208.35,501.9058315
2007,7,-4.20%,"100,178.89",208.3,480.9356217
2007,8,3.07%,"103,259.14",207.92,496.6291843
2007,9,2.99%,"106,348.27",208.49,510.0881097
2007,10,-4.81%,"101,236.84",208.94,484.5258926
2007,11,1.24%,"102,490.38",210.18,487.6314587
2007,12,-6.64%,"95,689.94",210.04,455.5796039
2008,1,-1.56%,"94,193.38",211.08,446.2449308
2008,2,-2.63%,"91,719.26",211.69,433.2715764
2008,3,4.24%,"95,611.65",213.53,447.7668243
2008,4,2.56%,"98,061.80",214.82,456.4835676
2008,5,-4.25%,"93,897.52",216.63,433.4465217
2008,6,-6.08%,"88,189.99",218.82,403.0252719
2008,7,2.11%,"90,051.27",219.96,409.3983906
2008,8,-4.85%,"85,686.00",219.09,391.0995481
2008,9,-20.19%,"68,382.92",218.78,312.5647683
2008,10,-8.61%,"62,498.34",216.57,288.5826292
2008,11,-0.35%,"62,278.83",212.43,293.1734218
2008,12,-1.10%,"61,596.53",210.23,292.9959092
2009,1,-6.70%,"57,468.02",211.14,272.1796912
2009,2,-5.69%,"54,199.56",212.19,255.4293793
2009,3,12.32%,"60,877.90",212.71,286.201401
2009,4,6.66%,"64,932.26",213.24,304.5031889
2009,5,2.87%,"66,795.07",213.86,312.3308239
2009,6,1.28%,"67,648.48",215.69,313.6375354
2009,7,8.12%,"73,142.04",215.35,339.6426283
2009,8,3.65%,"75,811.97",215.83,351.2577955
2009,9,2.40%,"77,633.81",215.97,359.4657128
2009,10,2.09%,"79,259.72",216.18,366.6376168
2009,11,2.23%,"81,023.93",216.33,374.5385753
2009,12,1.36%,"82,123.40",215.95,380.2889558
2010,1,-2.90%,"79,743.07",216.69,368.0053071
2010,2,5.94%,"84,482.23",216.74,389.786057
2010,3,4.09%,"87,935.81",217.63,404.0610669
2010,4,-5.88%,"82,763.07",218.01,379.6296959
2010,5,-3.54%,"79,830.31",218.18,365.8919699
2010,6,-0.16%,"79,703.32",217.97,365.6618801
2010,7,0.86%,"80,391.65",218.01,368.7521215
2010,8,3.37%,"83,101.78",218.31,380.6595209
2010,9,4.58%,"86,905.71",218.44,397.8470518
2010,10,2.49%,"89,070.45",218.71,407.2536692
2010,11,3.71%,"92,378.29",218.8,422.2042505
2010,12,3.46%,"95,576.61",219.18,436.0644676
2011,1,3.15%,"98,588.10",220.22,447.6800472
2011,2,-1.11%,"97,491.34",221.31,440.519362
2011,3,2.22%,"99,656.61",223.47,445.9507316
2011,4,0.66%,"100,313.58",224.91,446.0165399
2011,5,-3.66%,"96,639.50",225.96,427.6841034
2011,6,3.10%,"99,637.00",225.72,441.4185717
2011,7,-10.40%,"89,274.11",225.92,395.1580648
2011,8,-0.79%,"88,569.51",226.55,390.949062
2011,9,3.02%,"91,243.34",226.89,402.1479131
2011,10,1.77%,"92,855.73",226.42,410.1039219
2011,11,1.55%,"94,299.40",226.23,416.829775
2011,12,4.78%,"98,809.33",225.67,437.8487615
2012,1,4.16%,"102,922.37",226.67,454.062602
2012,2,2.88%,"105,890.48",227.66,465.1255381
2012,3,-0.04%,"105,850.02",229.39,461.4413008
2012,4,-3.09%,"102,578.25",230.09,445.8179408
2012,5,-1.15%,"101,396.13",229.82,441.1980245
2012,6,2.92%,"104,358.00",229.48,454.7585846
2012,7,3.39%,"107,893.33",229.1,470.9442601
2012,8,3.02%,"111,152.97",230.38,482.4766473
2012,9,-0.22%,"110,911.62",231.41,479.286202
2012,10,-2.84%,"107,764.51",231.32,465.8676725
2012,11,2.18%,"110,108.96",230.22,478.2771262
2012,12,4.27%,"114,809.25",229.6,500.0402875
2013,1,2.33%,"117,487.78",230.28,510.1953274
2013,2,2.72%,"120,686.33",232.17,519.8187966
2013,3,1.45%,"122,440.85",232.77,526.016454
2013,4,4.57%,"128,041.63",232.53,550.6456371
2013,5,-1.12%,"126,610.41",232.95,543.5089504
2013,6,3.25%,"130,730.92",233.5,559.8754604
2013,7,0.25%,"131,061.05",233.6,561.0490154
2013,8,1.19%,"132,623.91",233.88,567.059646
2013,9,2.12%,"135,432.29",234.15,578.399701
2013,10,3.86%,"140,659.97",233.55,602.2691929
2013,11,1.52%,"142,800.34",233.07,612.6929249
2013,12,0.97%,"144,182.37",233.05,618.6756919
2014,1,-0.13%,"143,994.88",233.92,615.5731874
2014,2,2.72%,"147,914.81",234.78,630.0145242
2014,3,0.20%,"148,213.19",236.29,627.2512167
2014,4,1.53%,"150,483.86",237.07,634.7655123
2014,5,3.20%,"155,293.81",237.9,652.7692728
2014,6,1.50%,"157,616.73",238.34,661.3104389
2014,7,-0.43%,"156,943.78",238.25,658.7356978
2014,8,1.78%,"159,734.29",237.85,671.575741
2014,9,-2.65%,"155,506.79",238.03,653.3075243
2014,10,5.71%,"164,379.47",237.43,692.3281388
2014,11,0.63%,"165,421.45",236.15,700.4931188
2014,12,-1.11%,"163,585.20",234.81,696.6704996
2015,1,2.83%,"168,210.40",233.71,719.7398485
2015,2,0.06%,"168,303.53",234.72,717.0395791
2015,3,0.88%,"169,781.92",236.12,719.049297
2015,4,0.98%,"171,443.92",236.6,724.6150465
2015,5,-0.44%,"170,697.29",237.81,717.7885287
2015,6,-0.08%,"170,561.36",238.64,714.7224271
2015,7,-2.42%,"166,426.27",238.65,697.3654724
2015,8,-4.51%,"158,925.28",238.32,666.8566633
2015,9,4.32%,"165,786.28",237.95,696.7273797
2015,10,2.93%,"170,647.91",237.84,717.4903717
2015,11,-1.10%,"168,765.72",237.34,711.0715429
2015,12,-6.42%,"157,931.59",236.53,667.7021519
2016,1,-0.55%,"157,063.11",236.92,662.9373206
2016,2,6.36%,"167,056.61",237.11,704.5532032
2016,3,2.83%,"171,786.42",238.13,721.3976399
2016,4,-0.30%,"171,263.56",239.26,715.8052328
2016,5,1.07%,"173,090.07",240.23,720.5181285
2016,6,3.30%,"178,797.61",241.02,741.8372334
2016,7,1.20%,"180,941.85",240.63,751.9505049
2016,8,-0.44%,"180,148.11",240.85,747.9680714
2016,9,-0.51%,"179,236.60",241.43,742.3957255
2016,10,1.20%,"181,389.52",241.73,750.3806727
2016,11,3.95%,"188,547.08",241.35,781.2184794
2016,12,1.44%,"191,257.70",241.43,792.1869693
2017,1,2.58%,"196,185.35",242.84,807.8790562
2017,2,1.75%,"199,617.14",243.6,819.4463875
2017,3,-0.15%,"199,309.72",243.8,817.5132075
2017,4,1.69%,"202,682.78",244.52,828.9006216
2017,5,1.78%,"206,283.30",244.73,842.901565
2017,6,0.99%,"208,321.14",244.96,850.4292129
2017,7,0.25%,"208,837.37",244.79,853.1286817
2017,8,1.65%,"212,290.00",245.52,864.6546106
2017,9,2.73%,"218,095.70",246.82,883.6224779
2017,10,1.59%,"221,562.48",246.66,898.2505473
2017,11,2.88%,"227,951.21",246.67,924.114039
2017,12,4.86%,"239,033.96",246.52,969.6331332
2018,1,-2.89%,"232,133.80",247.87,936.5143019
2018,2,0.06%,"232,283.71",248.99,932.9037712
2018,3,-1.66%,"228,418.57",249.55,915.3218593
2018,4,1.96%,"232,899.28",250.55,929.5521054
2018,5,2.11%,"237,820.37",251.59,945.2695656
2018,6,1.58%,"241,579.70",251.99,958.6876463
2018,7,2.45%,"247,500.35",252.01,982.1052736
2018,8,1.68%,"251,657.73",252.15,998.0477097
2018,9,-3.85%,"241,971.46",252.44,958.5305815
2018,10,-2.08%,"236,947.87",252.89,936.9602199
2018,11,-5.56%,"223,767.61",252.04,887.8257816
2018,12,1.74%,"227,651.41",251.23,906.1473948
2019,1,5.83%,"240,920.98",251.71,957.1371022
2019,2,1.95%,"245,614.18",252.78,971.6519503
2019,3,3.72%,"254,758.93",254.2,1002.19878
2019,4,-1.53%,"250,856.57",255.55,981.6340051
2019,5,1.40%,"254,380.47",256.09,993.3244953
2019,6,3.83%,"264,116.49",256.14,1031.141134
2019,7,-3.13%,"255,837.98",256.57,997.1468995
2019,8,3.09%,"263,731.17",256.56,1027.951239
2019,9,0.01%,"263,757.02",256.76,1027.251207
2019,10,4.43%,"275,451.19",257.35,1070.336856
2019,11,2.47%,"282,252.96",257.21,1097.363866
2019,12,3.35%,"291,698.27",256.97,1135.145231
2020,1,0.12%,"292,054.37",257.97,1132.125325
2020,2,-18.92%,"236,804.37",258.68,915.4336246
2020,3,4.32%,"247,031.04",258.12,957.0395165
2020,4,5.89%,"261,574.66",256.39,1020.221772
2020,5,6.51%,"278,598.65",256.39,1086.620578
2020,6,3.48%,"288,283.95",257.8,1118.246509
2020,7,5.89%,"305,273.98",259.1,1178.209108
2020,8,-0.63%,"303,359.90",259.92,1167.127962
2020,9,1.73%,"308,595.90",260.28,1185.630475
2020,10,3.95%,"320,798.14",260.39,1231.991013
2020,11,4.26%,"334,464.40",260.23,1285.264574
2020,12,2.80%,"343,813.68",260.47,1319.9742
2021,1,2.49%,"352,379.90",261.58,1347.120957
2021,2,0.82%,"355,274.20",263.01,1350.80111
2021,3,6.02%,"376,666.98",264.88,1422.028768
2021,4,0.76%,"379,530.52",267.05,1421.19648
2021,5,1.81%,"386,401.63",269.2,1435.370097
2021,6,3.07%,"398,257.21",271.7,1465.797608
2021,7,2.19%,"406,959.78",273,1490.695165
2021,8,-0.08%,"406,615.90",273.57,1486.3322
2021,9,0.45%,"408,454.52",274.31,1489.025263
2021,10,4.74%,"427,834.64",276.59,1546.818902
2021,11,0.27%,"428,970.13",277.95,1543.3356
2021,12,-2.05%,"420,167.86",278.8,1507.058321
2022,1,-2.90%,"407,972.20",281.15,1451.083763
2022,2,-0.89%,"404,330.71",283.72,1425.104716
2022,3,0.12%,"404,809.04",287.5,1408.031443
2022,4,-7.87%,"372,939.51",289.11,1289.957144
2022,5,-3.37%,"360,373.75",292.3,1232.89001
2022,6,0.46%,"362,048.35",296.31,1221.85667
2022,7,6.45%,"385,391.03",296.28,1300.766268
2022,8,-7.28%,"357,344.57",296.17,1206.552217
2022,9,-3.09%,"346,298.42",296.81,1166.734342
2022,10,5.29%,"364,600.62",298.01,1223.450958
2022,11,0.01%,"364,640.13",297.71,1224.816533
2022,12,1.38%,"369,659.25",296.8,1245.482648
2023,1,3.15%,"381,292.32",299.17,1274.500518
2023,2,-2.59%,"371,434.28",300.84,1234.657226
2023,3,4.00%,"386,277.62",301.84,1279.742976
2023,4,0.74%,"389,127.17",303.36,1282.724057
2023,5,4.94%,"408,358.56",304.13,1342.710551
2023,6,3.88%,"424,186.71",305.11,1390.274688
2023,7,-1.00%,"419,954.87",305.69,1373.793287
2023,8,-0.95%,"415,950.28",307.03,1354.754519
2023,9,-3.04%,"403,316.57",307.79,1310.362812
2023,10,4.60%,"421,876.08",307.67,1371.196672
2023,11,5.18%,"443,709.21",307.05,1445.071519
2023,12,2.91%,"456,629.30",306.75,1488.604075
2024,1,4.20%,"475,804.40",308.42,1542.715777
2024,2,3.28%,"491,420.87",310.33,1583.542906
2024,3,-1.01%,"486,461.81",312.33,1557.525086
2024,4,2.52%,"498,704.65",313.55,1590.510764
2024,5,3.55%,"516,411.58",314.07,1644.256312
2024,6,2.38%,"528,700.43",314.18,1682.794672
2024,7,-0.97%,"523,568.81",314.54,1664.553984
2024,8,2.72%,"537,820.93",314.8,1708.452764
2024,9,3.15%,"554,772.43",315.3,1759.506597
2024,10,2.48%,"568,540.69",315.66,1801.11731
2024,11,1.47%,"576,900.06",315.49,1828.584297
2024,12,-0.42%,"574,485.60",315.61,1820.238902
2025,1,0.98%,"580,093.00",317.67,1826.08682